Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;Ganhadores_7_Números;OS1;OS2;OS3;OS4;OS5;OS6;OS7
1;19/05/2018;3;5;8;9;19;21;30;1;3;9;5;30;8;19;21
2;22/05/2018;8;11;12;14;20;21;28;1;12;28;21;8;11;14;20
3;24/05/2018;11;12;21;24;25;28;29;1;11;25;28;12;21;29;24
4;26/05/2018;6;7;13;15;18;19;29;0;15;19;7;13;29;6;18
5;29/05/2018;2;8;9;17;19;24;28;0;2;8;9;17;24;19;28
6;02/06/2018;1;11;18;19;26;30;31;2;19;18;11;1;26;31;30
7;05/06/2018;2;5;6;14;20;24;25;1;25;6;2;5;24;14;20
8;07/06/2018;1;4;13;21;22;24;27;0;24;1;21;27;4;22;13
9;09/06/2018;3;10;13;18;19;23;24;3;18;24;23;3;10;19;13
10;12/06/2018;6;10;13;18;19;20;30;0;18;30;19;6;20;13;10
11;14/06/2018;7;13;16;19;20;27;31;0;7;13;27;19;31;16;20
12;16/06/2018;2;3;7;12;17;21;22;1;22;7;12;3;2;21;17
13;19/06/2018;1;4;7;9;20;21;26;0;20;21;9;26;1;7;4
14;21/06/2018;1;8;16;20;21;26;31;0;16;26;31;1;8;20;21
15;23/06/2018;8;11;13;16;26;28;29;0;26;13;16;8;11;29;28
16;26/06/2018;1;2;7;12;16;20;25;1;16;7;1;12;2;20;25
17;28/06/2018;9;11;13;14;19;20;22;0;9;20;19;14;11;22;13
18;30/06/2018;4;7;8;14;21;27;31;1;21;7;8;27;14;4;31
19;03/07/2018;3;4;9;12;14;28;29;0;29;28;12;14;3;4;9
20;05/07/2018;6;12;17;21;26;29;31;1;17;31;12;21;6;26;29
21;07/07/2018;2;8;10;11;12;18;31;0;18;31;8;11;10;12;2
22;10/07/2018;2;4;5;12;18;22;27;0;4;12;5;2;27;22;18
23;12/07/2018;9;10;17;19;25;27;28;0;19;27;9;17;10;25;28
24;14/07/2018;7;8;12;15;16;18;30;2;7;16;30;18;8;12;15
25;17/07/2018;1;10;13;17;21;25;29;10;29;13;17;25;10;21;1
26;19/07/2018;2;8;10;11;16;20;28;0;28;2;11;20;8;10;16
